관리번호|법정동코드|시도명|시군구명|법정읍면동명|법정리명|산여부|지번본번|지번부번|도로명코드|도로명|지하여부|건물본번|건물부번|행정동코드|행정동명|우편번호|우편일련번호|고시일자|이동사유코드|변경전도로명주소|시군구용건물명|공동주택구분|기타
41370101219800100008300000|4137010100|경기도|오산시|오산동||0|871|1|413702198001|성호대로|0|83|0|4137051000|중앙동|18135||20110729|0||||
41370101219800100008500000|4137010100|경기도|오산시|오산동||0|870|0|413702198001|성호대로|0|85|0|4137051000|중앙동|18135||20110729|0|||오산우체국|
41370101219800100008900000|4137010100|경기도|오산시|오산동||0|870|1|413702198001|성호대로|0|89|0|4137051000|중앙동|18135||20110729|0|||세명프라자|
41370101219800100009300000|4137010100|경기도|오산시|오산동||0|869|33|413702198001|성호대로|0|93|0|4137051000|중앙동|18135||20110729|0|||진성빌딩|
41370101219800100009500000|4137010100|경기도|오산시|오산동||0|869|34|413702198001|성호대로|0|95|0|4137051000|중앙동|18135||20110729|0||||
41370101219800100009700000|4137010100|경기도|오산시|오산동||0|869|35|413702198001|성호대로|0|97|0|4137051000|중앙동|18135||20110729|0||||
41370101219800100009900000|4137010100|경기도|오산시|오산동||0|869|37|413702198001|성호대로|0|99|0|4137051000|중앙동|18135||20110729|0||||
41370101219800100009900011|4137010100|경기도|오산시|오산동||0|869|41|413702198001|성호대로|0|99|11|4137051000|중앙동|18135||20110729|0||||
41370101219800100009900013|4137010100|경기도|오산시|오산동||0|869|40|413702198001|성호대로|0|99|13|4137051000|중앙동|18135||20110729|0|||대신빌|
41370101219800100009900017|4137010100|경기도|오산시|오산동||0|869|39|413702198001|성호대로|0|99|17|4137051000|중앙동|18135||20110729|0||||
41370101219800100009900019|4137010100|경기도|오산시|오산동||0|869|25|413702198001|성호대로|0|99|19|4137051000|중앙동|18135||20110729|0||||
41370101219800100009900021|4137010100|경기도|오산시|오산동||0|869|24|413702198001|성호대로|0|99|21|4137051000|중앙동|18135||20110729|0||||
41370101219800100009900025|4137010100|경기도|오산시|오산동||0|869|21|413702198001|성호대로|0|99|25|4137051000|중앙동|18135||20110729|0||||
41370101219800100009900027|4137010100|경기도|오산시|오산동||0|869|22|413702198001|성호대로|0|99|27|4137051000|중앙동|18135||20110729|0||||
41370101219800100009900029|4137010100|경기도|오산시|오산동||0|869|23|413702198001|성호대로|0|99|29|4137051000|중앙동|18135||20110729|0||||
41370101219800100011300000|4137010100|경기도|오산시|오산동||0|867|6|413702198001|성호대로|0|113|0|4137051000|중앙동|18134||20110729|0|||오산중앙약국|
41370101219800100011500000|4137010100|경기도|오산시|오산동||0|910|11|413702198001|성호대로|0|115|0|4137051000|중앙동|18134||20110729|0|||덕화빌딩|
41370101219800100012100000|4137010100|경기도|오산시|오산동||0|925|5|413702198001|성호대로|0|121|0|4137051000|중앙동|18133||20110729|0|||월드타워|
41370101219800100012300000|4137010100|경기도|오산시|오산동||0|925|6|413702198001|성호대로|0|123|0|4137051000|중앙동|18133||20110729|0|||오산그린프라자|
41370101219800100012700000|4137010100|경기도|오산시|오산동||0|925|13|413702198001|성호대로|0|127|0|4137051000|중앙동|18133||20110729|0|||웰리스타워|
41370101219800100012900000|4137010100|경기도|오산시|오산동||0|925|8|413702198001|성호대로|0|129|0|4137051000|중앙동|18133||20110729|0|||기업은행|
41370101219800100014100000|4137010100|경기도|오산시|오산동||0|915|0|413702198001|성호대로|0|141|0|4137051000|중앙동|18132||20110729|0|||오산시청|
41370101219800100019100000|4137010100|경기도|오산시|오산동||0|193|2|413702198001|성호대로|0|191|0|4137051000|중앙동|18148||20220608|0||||
41370101301206900000800000|4137010100|경기도|오산시|오산동||0|55|5|413703012069|경기동로|0|8|0|4137051000|중앙동|18134||20110729|0|||부흥슈퍼|
41370101301206900001000000|4137010100|경기도|오산시|오산동||0|55|2|413703012069|경기동로|0|10|0|4137051000|중앙동|18134||20110729|0||||
41370101301206900001500000|4137010100|경기도|오산시|오산동||0|49|0|413703012069|경기동로|0|15|0|4137051000|중앙동|18131||20110729|0|||오산종합운동장|
41370101301206900002600003|4137010100|경기도|오산시|오산동||0|80|1|413703012069|경기동로|0|26|3|4137051000|중앙동|18134||20110729|1||이화아파트|이화아파트|
41370101301206900002600005|4137010100|경기도|오산시|오산동||0|79|1|413703012069|경기동로|0|26|5|4137051000|중앙동|18134||20110729|0||||
41370101301206900002600007|4137010100|경기도|오산시|오산동||0|79|3|413703012069|경기동로|0|26|7|4137051000|중앙동|18134||20110729|0|||프라임빌|
41370101301206900002600009|4137010100|경기도|오산시|오산동||0|79|8|413703012069|경기동로|0|26|9|4137051000|중앙동|18134||20110729|0||||
41370101301206900002800000|4137010100|경기도|오산시|오산동||0|80|4|413703012069|경기동로|0|28|0|4137051000|중앙동|18134||20110729|1||이화아파트|이화아파트|
41370101301206900003000000|4137010100|경기도|오산시|오산동||0|81|1|413703012069|경기동로|0|30|0|4137051000|중앙동|18134||20110729|0||||
41370101301206900003300000|4137010100|경기도|오산시|오산동||0|40|0|413703012069|경기동로|0|33|0|4137051000|중앙동|18131||20110729|0|||오산스포츠센터|
41370101301206900004100000|4137010100|경기도|오산시|오산동||0|34|5|413703012069|경기동로|0|41|0|4137051000|중앙동|18131||20110729|0|||문화예술회관|
41370101301206900005100000|4137010100|경기도|오산시|오산동||0|34|5|413703012069|경기동로|0|51|0|4137051000|중앙동|18131||20110729|0|||고용복지플러스센터|
41370101301206900005900000|4137010100|경기도|오산시|오산동||0|25|0|413703012069|경기동로|0|59|0|4137051000|중앙동|18131||20110729|0|||오산시보건소|
41370101319801100000100000|4137010100|경기도|오산시|오산동||0|880|21|413703198011|대원로|0|1|0|4137052300|대원1동|18138||20110729|0|||연세치과안과의원|
41370101319801100000300000|4137010100|경기도|오산시|오산동||0|880|20|413703198011|대원로|0|3|0|4137052300|대원1동|18138||20110729|0||||
41370101319801100000500000|4137010100|경기도|오산시|오산동||0|880|18|413703198011|대원로|0|5|0|4137052300|대원1동|18138||20170623|0||||
41370101319801100000700000|4137010100|경기도|오산시|오산동||0|880|6|413703198011|대원로|0|7|0|4137052300|대원1동|18138||20110729|0|||우현병원|
41370101319801100000900000|4137010100|경기도|오산시|오산동||0|880|16|413703198011|대원로|0|9|0|4137052300|대원1동|18138||20110729|0|||오산농협역전지점|
41370101319801100001100000|4137010100|경기도|오산시|오산동||0|880|15|413703198011|대원로|0|11|0|4137052300|대원1동|18138||20110729|0|||구미빌딩|
41370101319801100001300000|4137010100|경기도|오산시|오산동||0|880|14|413703198011|대원로|0|13|0|4137052300|대원1동|18138||20110729|0||||
41370101319801100001300001|4137010100|경기도|오산시|오산동||0|880|13|413703198011|대원로|0|13|1|4137052300|대원1동|18138||20110729|0||||
41370101319802900000200000|4137010100|경기도|오산시|오산동||0|885|6|413703198029|역광장로|0|2|0|4137052300|대원1동|18137||20181001|0||||
41370101319802900000600000|4137010100|경기도|오산시|오산동||0|885|7|413703198029|역광장로|0|6|0|4137052300|대원1동|18137||20181001|0||||
41370101319802900000700001|4137010100|경기도|오산시|오산동||0|886|9|413703198029|역광장로|0|7|1|4137052300|대원1동|18137||20140707|0||||
41370101319802900000700002|4137010100|경기도|오산시|오산동||0|715|1|413703198029|역광장로|0|7|2|4137052300|대원1동|18137||20140707|0||||
41370101319802900000800001|4137010100|경기도|오산시|오산동||0|885|8|413703198029|역광장로|0|8|1|4137052300|대원1동|18137||20110729|0||||
41370101319802900000800002|4137010100|경기도|오산시|오산동||0|885|22|413703198029|역광장로|0|8|2|4137052300|대원1동|18137||20200630|0||||
41370101319802900001100000|4137010100|경기도|오산시|오산동||0|886|8|413703198029|역광장로|0|11|0|4137052300|대원1동|18137||20151203|0||||
41370101319802900001300000|4137010100|경기도|오산시|오산동||0|886|5|413703198029|역광장로|0|13|0|4137052300|대원1동|18137||20110729|0||||
41370101319802900001400002|4137010100|경기도|오산시|오산동||0|885|14|413703198029|역광장로|0|14|2|4137052300|대원1동|18137||20110729|0||||
41370101319802900001400003|4137010100|경기도|오산시|오산동||0|885|15|413703198029|역광장로|0|14|3|4137052300|대원1동|18137||20160816|0||||
